project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,source_url,collected_at
I-151,盘王大歌,民间文学,4,2014,new,湖南省江华瑶族自治县,湖南省,江华瑶族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-152,玛牧,民间文学,4,2014,new,四川省喜德县,四川省,喜德县文化馆(喜德县美术馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-153,黑白战争,民间文学,4,2014,new,云南省丽江市古城区,云南省,古城区非物质文化遗产保护管理中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-154,祁家延西,民间文学,4,2014,new,青海省互助土族自治县,青海省,互助土族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-155,常山喝彩歌谣,民间文学,4,2014,new,浙江省常山县,浙江省,常山县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-156,八大处传说,民间文学,5,2021,new,北京市石景山区,北京市,北京市八大处公园管理处,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-157,玄奘传说,民间文学,5,2021,new,河南省洛阳市偃师区,河南省,洛阳市偃师区人民文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-158,女娲传说,民间文学,5,2021,new,湖北省十堰市竹山县,湖北省,竹山县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-159,老司城传说,民间文学,5,2021,new,湖南省湘西土家族苗族自治州永顺县,湖南省,永顺县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-16,下堡坪民间故事,民间文学,1,2006,new,湖北省宜昌市夷陵区,湖北省,宜昌市夷陵区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-160,珠玑巷人南迁传说,民间文学,5,2021,new,广东省韶关市南雄市,广东省,南雄市非物质文化遗产传承保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-161,张骞传说,民间文学,5,2021,new,陕西省汉中市城固县,陕西省,城固县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-162,藏族民间传说(年保玉则传说),民间文学,5,2021,new,青海省果洛藏族自治州久治县,青海省,久治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-163,鄂温克族民间故事,民间文学,5,2021,new,内蒙古自治区呼伦贝尔市鄂温克族自治旗,内蒙古自治区,鄂温克族自治旗文化旅游事业发展中心(鄂温克族自治旗文化馆、鄂温克族自治旗非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-164,包公故事,民间文学,5,2021,new,安徽省合肥市,安徽省,合肥市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-165,仫佬族古歌,民间文学,5,2021,new,广西壮族自治区河池市罗城仫佬族自治县,广西壮族自治区,罗城仫佬族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-166,巴狄雄萨滚,民间文学,5,2021,new,贵州省铜仁市松桃苗族自治县,贵州省,松桃苗族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-167,都玛简收,民间文学,5,2021,new,云南省红河哈尼族彝族自治州绿春县,云南省,绿春县文化馆(绿春县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-17,走马镇民间故事,民间文学,1,2006,new,重庆市九龙坡区,重庆市,重庆市九龙坡区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-18,古渔雁民间故事,民间文学,1,2006,new,辽宁省大洼县,辽宁省,盘锦市大洼区文化体育旅游发展促进中心(大洼区总工会文体活动管理中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-19,喀左东蒙民间故事,民间文学,1,2006,new,辽宁省喀喇沁左翼蒙古族自治县,辽宁省,喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-2,布洛陀,民间文学,1,2006,new,广西壮族自治区田阳县,广西壮族自治区,田阳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00
I-20,谭振山民间故事,民间文学,1,2006,new,辽宁省新民市,辽宁省,新民市文化馆(新民市考古和文物保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-21,河间歌诗,民间文学,1,2006,new,河北省河间市,河北省,河间市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-22,吴歌,民间文学,1,2006,new,江苏省苏州市,江苏省,苏州市非物质文化遗产保护管理办公室(苏州市文化研究中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-22,吴歌,民间文学,2,2008,extension,上海市青浦区,上海市,上海市青浦区文化馆(上海青浦画院),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-22,吴歌,民间文学,2,2008,extension,江苏省无锡市,江苏省,无锡市锡山区吴歌锡剧研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-23,刘三姐歌谣,民间文学,1,2006,new,广西壮族自治区宜州市,广西壮族自治区,河池市宜州区刘三姐文化传承中心(河池市宜州区非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-24,四季生产调,民间文学,1,2006,new,云南省红河哈尼族彝族自治州,云南省,红河哈尼族彝族自治州非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-25,玛纳斯,民间文学,1,2006,new,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区,"新疆维吾尔自治区民间文艺家协会,新疆维吾尔自治区艺术研究所(新疆维吾尔自治区非物质文化遗产保护研究中心)",http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-25,玛纳斯,民间文学,1,2006,new,新疆维吾尔自治区克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州非物质文化遗产保护(玛纳斯保护研究)中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-26,江格尔,民间文学,1,2006,new,新疆维吾尔自治区文联民间文艺家协会,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-26,江格尔,民间文学,1,2006,new,新疆维吾尔自治区博尔塔拉蒙古自治州,新疆维吾尔自治区,博尔塔拉蒙古自治州文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-26,江格尔,民间文学,1,2006,new,新疆维吾尔自治区巴音郭楞蒙古自治州,新疆维吾尔自治区,新疆巴音郭楞蒙古自治州文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
